Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
23.58	19.68	14.26	3.51
24.57	19.60	14.41	1.98
25.56	19.53	14.47	3.51
26.55	19.42	14.36	1.98
27.55	19.37	14.14	3.51
28.53	19.37	13.78	90.61
29.51	19.37	13.39	197.57
30.50	19.30	13.03	310.64
31.49	19.30	12.82	380.93
32.47	19.27	12.76	448.17
33.45	19.19	12.78	506.23
34.44	19.10	12.71	556.66
35.44	19.06	12.46	610.14
36.42	19.08	12.01	672.79
37.41	19.09	11.20	700.29
38.39	19.09	10.27	736.96
39.37	18.92	9.91	744.60
40.36	18.77	9.95	744.60
41.35	18.62	10.55	743.08
42.33	18.44	11.38	743.08
43.31	18.13	12.02	741.55
44.30	17.80	12.44	743.08
45.28	17.47	12.62	743.08
46.26	17.15	12.79	762.94
47.25	16.78	12.92	762.94
48.24	16.50	13.15	762.94
49.22	16.22	13.17	743.08
50.20	15.98	13.18	743.08
51.18	15.74	13.22	743.08
52.17	15.57	13.24	743.08
53.16	15.37	13.33	743.08
54.14	15.20	13.34	743.08
55.13	15.05	13.44	744.60
56.11	14.91	13.42	744.60
57.09	14.82	13.41	743.08
58.08	14.74	13.38	747.66
59.07	14.64	13.44	743.08
60.05	14.58	13.54	743.08
61.03	14.49	13.63	743.08
62.02	14.43	13.71	744.60
63.00	14.38	13.76	743.08
63.98	14.35	13.79	743.08
64.98	14.30	13.81	743.08
65.98	14.25	13.83	744.60
66.98	14.24	13.88	743.08
67.98	14.24	13.94	743.08
68.98	14.19	13.99	743.08
69.98	14.15	13.95	747.66
70.98	14.13	13.99	743.08
71.98	14.13	14.03	743.08
72.98	14.15	14.04	743.08
73.98	14.10	14.03	743.08
74.98	14.12	14.07	743.08
75.98	14.08	14.01	743.08
76.98	14.10	14.05	743.08
77.98	14.12	14.08	741.55
78.98	14.07	14.05	743.08
79.98	14.10	14.07	744.60
80.98	14.10	14.07	744.60
81.98	14.11	14.10	744.60
82.98	14.10	14.07	743.08
83.98	14.11	14.10	743.08
84.98	14.11	14.09	743.08
85.98	14.10	14.08	741.55
86.98	14.10	14.09	743.08
87.98	14.08	14.09	744.60
88.98	14.13	14.10	743.08
89.98	14.10	14.08	744.60
90.98	14.08	14.07	743.08
91.98	14.10	14.10	743.08
92.98	14.13	14.11	743.08
93.98	14.08	14.10	743.08
94.98	14.10	14.10	743.08
95.98	14.10	14.09	743.08
96.98	14.10	14.09	743.08
97.98	14.20	14.16	743.08
98.98	14.14	14.11	743.08
99.98	14.13	14.13	743.08
100.98	14.14	14.13	743.08
101.98	14.20	14.17	744.60
102.98	14.24	14.19	743.08
103.98	14.22	14.18	743.08
104.98	14.26	14.23	743.08
105.98	14.30	14.24	743.08
106.98	14.33	14.28	743.08
107.98	14.37	14.34	743.08
108.98	14.42	14.31	743.08
109.98	14.44	14.37	743.08
110.98	14.47	14.40	743.08
111.98	14.54	14.44	743.08
112.98	14.61	14.48	744.60
113.98	14.60	14.47	743.08
114.98	14.68	14.55	743.08
115.98	14.70	14.57	743.08
116.98	14.74	14.62	743.08
117.98	14.80	14.68	743.08
118.98	14.83	14.73	743.08
119.98	14.84	14.76	743.08
120.98	14.94	14.86	743.08
121.98	15.00	14.90	743.08
122.98	15.05	14.97	744.60
123.98	15.08	14.99	743.08
124.98	15.16	15.02	743.08
125.98	15.16	15.04	747.66
126.98	15.24	15.09	743.08
127.98	15.28	15.10	743.08
128.98	15.31	15.17	740.02
129.98	15.38	15.20	747.66
130.98	15.46	15.30	743.08
131.98	15.49	15.33	743.08
132.98	15.55	15.40	743.08
133.98	15.61	15.41	743.08
134.98	15.68	15.50	743.08
135.98	15.74	15.53	743.08
136.98	15.79	15.62	743.08
137.98	15.90	15.70	743.08
138.98	15.93	15.78	743.08
139.98	15.97	15.85	743.08
140.98	16.03	15.87	741.55
141.98	16.12	16.01	743.08
142.98	16.17	16.02	744.60
143.98	16.24	16.11	743.08
144.98	16.29	16.15	736.96
145.98	16.35	16.17	743.08
146.98	16.42	16.21	744.60
147.98	16.48	16.32	743.08
148.98	16.57	16.40	743.08
149.98	16.63	16.49	743.08
150.98	16.75	16.57	743.08
151.98	16.78	16.60	743.08
152.98	16.86	16.68	743.08
153.98	16.98	16.82	744.60
154.98	17.03	16.82	743.08
155.98	17.09	16.91	743.08
156.99	17.19	17.00	744.60
157.98	17.28	17.06	743.08
158.98	17.32	17.11	743.08
159.98	17.43	17.21	743.08
160.99	17.50	17.27	740.02
161.99	17.58	17.34	743.08
162.98	17.68	17.43	743.08
163.99	17.77	17.50	743.08
164.98	17.86	17.66	743.08
165.98	17.90	17.73	743.08
166.98	18.04	17.86	743.08
167.98	18.15	17.93	743.08
168.98	18.22	17.98	744.60
169.98	18.34	18.08	743.08
170.98	18.46	18.21	743.08
171.99	18.53	18.29	743.08
172.99	18.64	18.42	743.08
173.98	18.77	18.52	743.08
174.99	18.85	18.63	744.60
175.99	18.97	18.73	743.08
176.98	19.07	18.85	743.08
177.98	19.19	18.95	736.96
178.98	19.28	19.01	743.08
179.99	19.39	19.10	743.08
180.99	19.53	19.24	743.08
181.99	19.65	19.31	743.08
182.98	19.78	19.44	743.08
183.98	19.90	19.54	743.08
184.99	20.01	19.67	743.08
185.99	20.12	19.82	743.08
186.99	20.26	19.96	743.08
187.99	20.40	20.06	743.08
188.99	20.55	20.23	743.08
189.99	20.66	20.35	743.08
190.99	20.80	20.46	743.08
191.99	20.89	20.60	743.08
192.99	21.07	20.72	743.08
193.99	21.17	20.85	743.08
194.99	21.35	21.04	743.08
195.99	21.47	21.18	743.08
196.99	21.61	21.30	743.08
197.99	21.76	21.39	743.08
198.99	21.92	21.51	743.08
199.99	22.06	21.65	743.08
200.99	22.22	21.77	743.08
201.99	22.32	21.89	743.08
202.99	22.51	22.09	744.60
203.99	22.65	22.23	743.08
204.99	22.81	22.41	743.08
205.99	22.94	22.56	743.08
206.99	23.06	22.69	743.08
207.99	23.21	22.83	743.08
208.99	23.39	23.01	743.08
209.99	23.51	23.14	743.08
210.99	23.69	23.34	743.08
211.99	23.83	23.51	743.08
212.99	24.01	23.69	743.08
213.99	24.10	23.82	743.08
214.99	24.24	23.92	740.02
215.99	24.42	24.06	743.08
216.99	24.59	24.25	744.60
217.99	24.73	24.35	744.60
218.99	24.84	24.51	743.08
219.99	25.01	24.69	743.08
220.99	25.16	24.79	743.08
221.99	25.29	24.95	743.08
222.99	25.48	25.15	743.08
223.99	25.57	25.29	743.08
224.99	25.70	25.46	743.08
225.99	25.87	25.59	743.08
226.99	26.01	25.76	743.08
227.99	26.17	25.93	743.08
228.99	26.30	26.09	743.08
229.99	26.45	26.24	743.08
230.99	26.61	26.38	743.08
231.99	26.82	26.50	741.55
232.99	26.94	26.64	746.13
233.99	27.08	26.75	743.08
234.99	27.25	26.87	743.08
235.99	27.42	27.05	743.08
236.99	27.56	27.14	743.08
237.99	27.69	27.26	743.08
238.99	27.86	27.45	743.08
239.99	28.02	27.57	743.08
240.99	28.18	27.74	743.08
241.99	28.34	27.91	743.08
242.99	28.46	28.05	743.08
243.99	28.63	28.19	743.08
244.99	28.80	28.30	743.08
245.99	28.92	28.44	743.08
246.99	29.10	28.64	743.08
247.99	29.16	28.71	743.08
248.99	29.36	28.89	740.02
249.99	29.48	29.02	743.08
250.99	29.63	29.12	743.08
251.99	29.74	29.24	743.08
252.99	29.90	29.40	743.08
253.99	30.04	29.54	744.60
254.99	30.24	29.74	743.08
255.99	30.34	29.89	743.08
256.99	30.47	29.99	743.08
257.99	30.65	30.17	743.08
258.99	30.76	30.28	743.08
259.99	30.94	30.46	743.08
260.99	31.09	30.60	744.60
261.99	31.24	30.76	743.08
262.99	31.45	30.97	743.08
263.99	31.55	31.11	743.08
264.99	31.69	31.19	736.96
265.99	31.81	31.38	743.08
266.99	31.98	31.55	743.08
267.99	32.10	31.68	743.08
268.99	32.28	31.86	743.08
269.99	32.38	31.99	743.08
270.99	32.58	32.15	743.08
271.99	32.74	32.38	743.08
272.99	32.90	32.55	735.44
273.99	33.04	32.71	743.08
274.99	33.18	32.88	743.08
275.99	33.38	33.07	744.60
276.99	33.53	33.18	743.08
277.99	33.65	33.29	743.08
278.99	33.81	33.40	743.08
279.99	33.93	33.53	744.60
280.99	34.10	33.64	743.08
281.99	34.25	33.77	743.08
282.99	34.42	33.95	743.08
283.99	34.60	34.12	738.49
284.99	34.72	34.23	743.08
285.99	34.87	34.40	743.08
286.99	35.00	34.55	743.08
287.99	35.14	34.68	743.08
288.99	35.32	34.89	743.08
289.99	35.46	35.05	743.08
290.99	35.59	35.18	743.08
291.99	35.78	35.36	743.08
292.99	35.92	35.44	743.08
293.99	36.06	35.60	743.08
294.99	36.23	35.75	749.19
295.99	36.35	35.85	743.08
296.99	36.49	36.04	741.55
297.99	36.66	36.20	743.08
298.99	36.77	36.33	744.60
299.99	36.90	36.48	743.08
300.99	37.13	36.67	744.60
301.99	37.23	36.77	743.08
302.99	37.41	36.92	744.60
303.99	37.54	37.00	743.08
304.99	37.73	37.16	743.08
305.99	37.87	37.28	743.08
306.99	38.06	37.49	743.08
307.99	38.17	37.62	741.55
308.99	38.32	37.78	744.60
309.99	38.51	37.98	743.08
310.99	38.57	38.05	744.60
311.99	38.70	38.21	744.60
312.99	38.83	38.33	743.08
313.99	39.02	38.49	743.08
314.99	39.18	38.63	743.08
315.99	39.31	38.77	743.08
316.99	39.52	38.95	743.08
317.99	39.61	39.08	743.08
318.99	39.76	39.24	743.08
319.99	39.95	39.39	743.08
320.99	40.11	39.56	743.08
321.99	40.25	39.69	743.08
322.99	40.37	39.82	743.08
323.99	40.53	39.95	743.08
324.99	40.66	40.06	749.19
325.99	40.79	40.21	743.08
326.99	40.99	40.37	743.08
327.99	41.10	40.48	743.08
328.99	41.26	40.65	743.08
329.99	41.40	40.79	743.08
330.99	41.54	40.98	743.08
331.99	41.65	41.13	743.08
332.99	41.85	41.34	744.60
333.99	41.98	41.53	743.08
334.99	42.12	41.65	741.55
335.99	42.28	41.77	743.08
336.99	42.44	41.96	744.60
337.99	42.64	42.14	744.60
338.99	42.73	42.27	743.08
339.99	42.85	42.44	744.60
340.99	43.01	42.56	743.08
341.99	43.16	42.72	743.08
342.99	43.33	42.85	743.08
343.99	43.45	42.93	743.08
344.99	43.61	43.04	744.60
345.99	43.77	43.16	743.08
346.99	43.87	43.19	743.08
347.99	44.02	43.40	743.08
348.99	44.16	43.56	743.08
349.99	44.29	43.67	744.60
350.99	44.46	43.89	741.55
351.99	44.60	44.03	743.08
352.99	44.76	44.21	743.08
353.99	44.91	44.38	743.08
354.99	45.09	44.59	743.08
356.00	45.19	44.66	740.02
356.99	45.33	44.82	744.60
358.00	45.46	44.92	743.08
358.99	45.60	45.08	744.60
359.99	45.80	45.25	744.60
360.99	45.96	45.44	743.08
361.99	46.07	45.54	743.08
363.00	46.23	45.71	744.60
363.99	46.35	45.79	743.08
365.00	46.51	45.94	743.08
365.99	46.67	46.19	746.13
366.99	46.83	46.32	744.60
368.00	46.94	46.42	743.08
369.00	47.08	46.53	743.08
369.99	47.24	46.67	743.08
371.00	47.39	46.81	743.08
371.99	47.48	46.92	743.08
373.00	47.68	47.11	743.08
373.99	47.82	47.31	735.44
375.00	47.96	47.47	743.08
375.99	48.10	47.61	743.08
377.00	48.25	47.74	743.08
377.99	48.40	47.86	743.08
379.00	48.57	47.99	744.60
379.99	48.69	48.09	743.08
380.99	48.84	48.26	743.08
382.00	48.95	48.40	743.08
382.99	49.11	48.55	743.08
384.00	49.28	48.71	743.08
384.99	49.38	48.82	743.08
386.00	49.54	49.02	744.60
386.99	49.67	49.13	743.08
387.99	49.83	49.27	743.08
389.00	49.97	49.42	740.02
390.00	50.12	49.57	743.08
391.00	50.24	49.68	743.08
392.00	50.39	49.80	743.08
393.00	50.53	49.92	744.60
394.00	50.64	50.08	743.08
395.00	50.85	50.28	743.08
396.00	50.98	50.43	743.08
397.00	51.15	50.59	744.60
398.00	51.26	50.70	743.08
399.00	51.41	50.84	741.55
400.00	51.55	51.01	741.55
401.00	51.70	51.17	743.08
402.00	51.87	51.33	744.60
403.00	51.98	51.44	743.08
404.00	52.10	51.53	743.08
405.00	52.24	51.67	750.72
406.00	52.40	51.88	743.08
407.00	52.55	52.02	743.08
408.00	52.69	52.18	743.08
409.00	52.79	52.32	743.08
410.00	52.97	52.42	743.08
411.00	53.10	52.53	743.08
412.00	53.26	52.68	744.60
413.00	53.41	52.78	732.38
414.00	53.55	52.91	743.08
415.00	53.69	53.07	743.08
416.00	53.85	53.17	743.08
417.00	53.98	53.30	743.08
418.00	54.13	53.41	727.80
419.00	54.26	53.54	744.60
420.00	54.36	53.70	743.08
421.00	54.55	53.93	743.08
422.00	54.68	54.13	743.08
423.00	54.79	54.27	743.08
424.00	54.90	54.38	743.08
425.00	55.06	54.53	743.08
426.00	55.17	54.65	759.88
427.00	55.35	54.85	746.13
428.00	55.50	54.96	743.08
429.00	55.61	55.09	744.60
430.00	55.79	55.22	743.08
431.00	55.97	55.30	743.08
432.00	56.09	55.44	743.08
433.00	56.26	55.60	740.02
434.00	56.37	55.68	744.60
435.00	56.48	55.81	743.08
436.00	56.71	56.01	743.08
437.00	56.76	56.17	743.08
438.00	56.93	56.34	743.08
439.00	57.07	56.46	746.13
440.00	57.18	56.56	743.08
441.00	57.33	56.75	743.08
442.00	57.50	56.88	743.08
443.00	57.60	57.00	743.08
444.00	57.75	57.17	743.08
445.00	57.86	57.31	743.08
446.00	58.05	57.52	743.08
447.00	58.17	57.63	743.08
448.00	58.26	57.72	743.08
449.00	58.41	57.83	743.08
450.00	58.56	58.03	738.49
451.00	58.70	58.17	744.60
452.00	58.79	58.31	743.08
453.00	58.98	58.48	741.55
454.00	59.12	58.60	741.55
455.00	59.27	58.67	743.08
456.00	59.40	58.83	743.08
457.00	59.49	58.92	743.08
458.00	59.65	59.07	743.08
459.00	59.76	59.15	743.08
460.00	59.88	59.34	743.08
461.00	60.06	59.55	743.08
462.00	60.16	59.73	743.08
463.00	60.29	59.85	743.08
464.00	60.38	59.98	744.60
465.00	60.60	60.15	743.08
466.00	60.72	60.25	743.08
467.00	60.93	60.41	743.08
468.00	61.02	60.49	743.08
469.00	61.15	60.64	743.08
470.00	61.28	60.84	743.08
471.00	61.46	61.01	744.60
472.00	61.57	61.17	733.91
473.00	61.74	61.32	743.08
474.00	61.89	61.44	743.08
475.00	61.95	61.48	746.13
476.00	62.11	61.65	743.08
477.00	62.26	61.77	743.08
478.00	62.41	61.90	743.08
479.00	62.56	62.08	743.08
480.01	62.68	62.18	743.08
481.01	62.85	62.30	744.60
482.00	63.00	62.45	743.08
483.00	63.11	62.53	743.08
484.00	63.25	62.64	743.08
485.00	63.35	62.75	743.08
486.00	63.46	62.84	749.19
487.00	63.62	63.10	743.08
488.00	63.79	63.28	743.08
489.00	63.85	63.36	743.08
490.00	64.01	63.56	743.08
491.00	64.10	63.70	743.08
492.00	64.28	63.83	743.08
493.00	64.43	64.02	743.08
494.00	64.57	64.10	743.08
495.00	64.68	64.19	743.08
496.00	64.80	64.32	743.08
497.00	64.97	64.47	743.08
498.00	65.05	64.56	743.08
499.00	65.20	64.71	744.60
500.00	65.34	64.86	743.08
501.00	65.46	65.01	740.02
502.00	65.59	65.11	743.08
503.00	65.74	65.24	744.60
504.00	65.84	65.32	744.60
505.00	65.96	65.46	743.08
506.00	66.12	65.64	743.08
507.00	66.26	65.78	743.08
508.00	66.40	65.94	743.08
509.00	66.55	66.09	743.08
510.00	66.65	66.16	744.60
511.00	66.77	66.28	743.08
512.00	66.92	66.42	741.55
513.00	67.04	66.54	743.08
514.00	67.21	66.69	743.08
515.00	67.33	66.81	743.08
516.00	67.46	66.91	743.08
517.00	67.59	67.05	743.08
518.00	67.72	67.17	743.08
519.00	67.83	67.27	743.08
520.00	67.96	67.44	743.08
521.00	68.09	67.56	743.08
522.00	68.22	67.68	743.08
523.00	68.32	67.81	743.08
524.00	68.49	67.95	743.08
525.00	68.60	68.06	743.08
526.00	68.75	68.24	743.08
527.00	68.89	68.33	743.08
528.00	68.99	68.46	743.08
529.00	69.15	68.61	743.08
530.00	69.26	68.75	743.08
531.00	69.37	68.92	743.08
532.00	69.52	69.09	743.08
533.00	69.65	69.23	743.08
534.00	69.76	69.36	743.08
535.00	69.88	69.48	743.08
536.00	70.01	69.59	744.60
537.00	70.13	69.73	743.08
538.00	70.33	69.91	744.60
539.00	70.38	69.96	741.55
540.00	70.52	70.05	743.08
541.00	70.65	70.18	743.08
542.00	70.80	70.28	743.08
543.00	70.92	70.45	732.38
544.00	71.08	70.57	390.10
