Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
13.99	29.63	29.65	304.53
14.98	29.65	29.67	304.53
15.96	29.68	29.67	304.53
16.95	29.65	29.66	304.53
17.94	29.68	29.68	359.54
18.92	29.71	29.72	376.35
19.90	29.66	29.64	419.13
20.89	29.68	29.70	454.28
21.87	29.68	29.69	504.70
22.85	29.68	29.70	558.18
23.85	29.67	29.67	608.61
24.84	29.68	29.67	617.78
25.82	29.69	29.67	655.98
26.81	29.68	29.68	681.95
27.80	29.69	29.68	732.38
28.78	29.69	29.69	758.36
29.76	29.71	29.67	758.36
30.75	29.72	29.70	749.19
31.73	29.68	29.68	749.19
32.72	29.69	29.65	749.19
33.70	29.72	29.72	747.66
34.69	29.69	29.70	750.72
35.67	29.68	29.70	749.19
36.65	29.72	29.70	750.72
37.64	29.68	29.69	750.72
38.62	29.71	29.69	747.66
39.61	29.71	29.71	749.19
40.59	29.71	29.73	749.19
41.57	29.69	29.68	749.19
42.56	29.69	29.70	749.19
43.55	29.70	29.71	753.77
44.53	29.68	29.69	750.72
45.51	29.70	29.69	749.19
46.50	29.69	29.70	749.19
47.48	29.74	29.70	749.19
48.47	29.73	29.70	749.19
49.45	29.72	29.72	749.19
50.44	29.77	29.77	749.19
51.42	29.71	29.71	749.19
52.40	29.70	29.68	749.19
53.39	29.72	29.72	741.55
54.38	29.76	29.76	749.19
55.36	29.76	29.76	749.19
56.34	29.73	29.77	749.19
57.32	29.75	29.79	749.19
58.31	29.78	29.78	749.19
59.29	29.84	29.83	747.66
60.28	29.83	29.83	750.72
61.27	29.84	29.84	749.19
62.25	29.88	29.92	747.66
63.23	29.92	29.93	744.60
64.21	29.93	29.93	749.19
65.20	29.98	29.98	749.19
66.18	30.02	30.00	749.19
67.17	30.02	29.98	749.19
68.16	30.08	30.05	749.19
69.14	30.11	30.11	749.19
70.13	30.13	30.15	749.19
71.12	30.14	30.19	747.66
72.11	30.23	30.23	749.19
73.09	30.28	30.24	750.72
74.08	30.27	30.28	749.19
75.07	30.35	30.34	749.19
76.07	30.33	30.33	749.19
77.07	30.42	30.40	749.19
78.07	30.45	30.40	749.19
79.07	30.53	30.47	749.19
80.07	30.54	30.51	749.19
81.07	30.57	30.55	749.19
82.07	30.61	30.61	749.19
83.07	30.69	30.63	749.19
84.07	30.74	30.71	744.60
85.07	30.78	30.72	749.19
86.07	30.85	30.78	750.72
87.07	30.91	30.83	750.72
88.07	30.92	30.87	749.19
89.07	30.95	30.89	749.19
90.07	31.01	30.95	749.19
91.07	31.07	31.01	747.66
92.07	31.08	31.05	749.19
93.07	31.16	31.11	749.19
94.07	31.23	31.17	749.19
95.07	31.30	31.22	749.19
96.07	31.32	31.24	749.19
97.07	31.36	31.29	749.19
98.07	31.45	31.34	750.72
99.07	31.53	31.38	749.19
100.07	31.58	31.45	749.19
101.07	31.59	31.50	749.19
102.07	31.68	31.53	747.66
103.07	31.75	31.63	749.19
104.07	31.79	31.66	749.19
105.07	31.86	31.72	750.72
106.07	31.93	31.82	747.66
107.07	31.99	31.86	750.72
108.07	32.00	31.88	749.19
109.07	32.13	31.97	749.19
110.07	32.16	32.00	749.19
111.07	32.23	32.05	749.19
112.07	32.31	32.11	749.19
113.07	32.39	32.17	750.72
114.07	32.43	32.25	749.19
115.07	32.51	32.28	749.19
116.07	32.60	32.35	749.19
117.07	32.68	32.44	749.19
118.07	32.78	32.51	749.19
119.07	32.81	32.54	749.19
120.07	32.89	32.62	749.19
121.07	33.01	32.75	749.19
122.07	33.03	32.80	749.19
123.07	33.13	32.88	747.66
124.07	33.19	32.93	749.19
125.07	33.27	32.99	749.19
126.07	33.34	33.11	749.19
127.07	33.46	33.20	750.72
128.07	33.51	33.26	749.19
129.07	33.58	33.35	749.19
130.07	33.69	33.48	749.19
131.07	33.77	33.53	749.19
132.07	33.86	33.56	749.19
133.07	33.98	33.69	747.66
134.07	34.04	33.80	752.24
135.07	34.10	33.81	749.19
136.07	34.24	33.92	752.24
137.07	34.32	34.02	749.19
138.07	34.40	34.10	746.13
139.07	34.51	34.23	750.72
140.07	34.57	34.27	749.19
141.07	34.73	34.44	750.72
142.07	34.82	34.52	749.19
143.07	34.91	34.61	749.19
144.07	35.03	34.71	749.19
145.07	35.11	34.77	749.19
146.07	35.22	34.90	749.19
147.07	35.32	35.06	749.19
148.07	35.47	35.23	749.19
149.07	35.56	35.28	752.24
150.07	35.69	35.43	749.19
151.07	35.85	35.57	749.19
152.07	35.90	35.64	749.19
153.07	36.05	35.75	749.19
154.07	36.14	35.82	749.19
155.07	36.30	35.95	749.19
156.07	36.41	36.04	753.77
157.07	36.52	36.12	749.19
158.07	36.67	36.29	749.19
159.07	36.79	36.37	749.19
160.07	36.92	36.48	749.19
161.07	37.03	36.57	752.24
162.07	37.17	36.68	749.19
163.07	37.28	36.82	749.19
164.07	37.41	36.93	749.19
165.07	37.54	37.04	749.19
166.07	37.71	37.22	749.19
167.07	37.87	37.36	749.19
168.07	38.01	37.54	749.19
169.07	38.13	37.70	749.19
170.07	38.26	37.82	749.19
171.07	38.39	38.00	749.19
172.07	38.57	38.18	749.19
173.07	38.68	38.32	747.66
174.07	38.83	38.46	749.19
175.07	38.95	38.59	749.19
176.07	39.11	38.73	749.19
177.07	39.24	38.84	749.19
178.07	39.36	39.00	749.19
179.07	39.50	39.14	749.19
180.07	39.66	39.28	749.19
181.07	39.80	39.33	749.19
182.07	39.95	39.43	749.19
183.07	40.09	39.62	750.72
184.07	40.25	39.79	749.19
