Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
17.96	25.28	21.79	3.51
18.96	25.26	21.77	1.98
19.94	25.24	21.76	3.51
20.92	25.23	21.77	3.51
21.91	25.18	21.78	1.98
22.90	25.09	21.74	3.51
23.88	24.97	21.74	3.51
24.87	24.84	21.75	3.51
25.93	24.63	21.71	3.51
26.91	24.48	21.72	3.51
27.90	24.36	21.73	3.51
28.90	24.27	21.75	35.60
29.88	24.19	21.79	180.76
30.87	24.12	21.80	310.64
31.85	24.04	21.82	362.60
32.84	24.00	21.92	388.57
33.82	23.99	21.95	423.72
34.80	23.96	21.90	486.37
35.78	24.10	21.73	523.04
36.77	24.47	21.62	539.85
37.75	24.83	20.87	579.58
38.74	25.07	19.89	594.86
39.72	25.17	18.63	652.92
40.71	25.22	17.45	654.45
41.70	25.14	16.39	695.71
42.68	25.00	15.29	695.71
43.66	24.74	13.90	714.04
44.64	24.32	13.17	755.30
45.63	23.85	13.93	749.19
46.61	23.32	14.94	749.19
47.60	22.79	15.85	749.19
48.59	22.32	16.64	749.19
49.57	21.86	17.33	749.19
50.55	21.50	17.86	749.19
51.53	21.13	18.27	747.66
52.52	20.85	18.43	749.19
53.51	20.61	18.50	753.77
54.49	20.36	18.25	749.19
55.47	20.14	17.91	749.19
56.46	19.94	17.84	749.19
57.44	19.78	17.95	749.19
58.43	19.63	18.02	749.19
59.41	19.48	18.06	749.19
60.39	19.37	18.11	747.66
61.38	19.27	18.15	749.19
62.36	19.14	18.17	749.19
63.35	19.07	18.23	750.72
64.34	18.99	18.28	749.19
65.32	18.93	18.30	749.19
66.30	18.87	18.34	750.72
67.28	18.79	18.31	749.19
68.27	18.76	18.37	750.72
69.25	18.71	18.42	749.19
70.24	18.71	18.44	749.19
71.22	18.66	18.45	750.72
72.21	18.65	18.45	749.19
73.20	18.65	18.53	749.19
74.18	18.62	18.49	749.19
75.17	18.60	18.50	746.13
76.15	18.63	18.54	747.66
77.13	18.63	18.61	749.19
78.12	18.61	18.59	749.19
79.10	18.62	18.61	749.19
80.08	18.65	18.64	749.19
81.07	18.65	18.66	749.19
82.05	18.61	18.66	749.19
83.04	18.64	18.70	749.19
84.02	18.69	18.77	749.19
85.01	18.70	18.78	749.19
86.00	18.69	18.79	749.19
87.00	18.73	18.81	749.19
88.00	18.79	18.86	749.19
89.00	18.80	18.91	749.19
90.00	18.82	18.95	749.19
91.00	18.84	18.99	749.19
92.00	18.88	18.98	749.19
93.00	18.96	19.06	749.19
94.00	18.95	19.07	749.19
95.00	19.03	19.12	749.19
96.00	19.07	19.17	749.19
97.00	19.14	19.21	749.19
98.00	19.15	19.23	749.19
99.00	19.21	19.23	749.19
100.00	19.29	19.32	749.19
101.00	19.36	19.36	749.19
102.00	19.39	19.40	747.66
103.00	19.43	19.47	747.66
104.00	19.47	19.48	749.19
105.00	19.51	19.53	749.19
106.00	19.56	19.60	747.66
107.00	19.59	19.61	749.19
108.00	19.64	19.64	747.66
109.00	19.69	19.73	744.60
110.00	19.72	19.78	749.19
111.00	19.78	19.84	749.19
112.00	19.81	19.88	749.19
113.00	19.87	19.92	749.19
114.00	19.92	20.00	750.72
115.00	19.98	20.04	749.19
116.00	20.05	20.10	750.72
117.00	20.08	20.12	743.08
118.00	20.15	20.20	749.19
119.00	20.24	20.29	747.66
120.00	20.32	20.33	749.19
121.00	20.36	20.34	749.19
122.00	20.38	20.38	749.19
123.00	20.42	20.50	749.19
124.00	20.51	20.57	749.19
125.00	20.53	20.60	747.66
126.00	20.62	20.72	750.72
127.00	20.68	20.75	750.72
128.00	20.78	20.79	749.19
129.00	20.80	20.85	749.19
130.00	20.89	20.94	750.72
131.00	20.98	21.03	749.19
132.00	21.01	21.09	747.66
133.00	21.09	21.11	749.19
134.00	21.12	21.19	749.19
135.00	21.24	21.28	749.19
136.00	21.32	21.34	749.19
137.00	21.36	21.38	749.19
138.00	21.46	21.46	749.19
139.00	21.49	21.50	752.24
140.00	21.60	21.57	749.19
141.00	21.67	21.68	749.19
142.00	21.75	21.75	750.72
143.00	21.78	21.80	750.72
144.00	21.87	21.89	749.19
145.00	22.02	21.99	749.19
146.00	22.03	22.03	749.19
147.00	22.12	22.12	749.19
148.00	22.19	22.19	749.19
149.00	22.28	22.25	749.19
150.00	22.39	22.35	749.19
151.00	22.43	22.40	749.19
152.00	22.54	22.51	749.19
153.00	22.68	22.61	749.19
154.00	22.79	22.66	749.19
155.00	22.85	22.71	749.19
156.00	22.97	22.78	749.19
157.00	23.03	22.84	750.72
158.00	23.12	22.93	749.19
159.00	23.21	22.99	749.19
160.00	23.33	23.10	750.72
161.00	23.42	23.20	749.19
162.00	23.50	23.32	759.88
163.00	23.58	23.43	749.19
164.00	23.67	23.53	749.19
165.00	23.81	23.63	749.19
166.00	23.89	23.70	750.72
167.00	24.01	23.78	749.19
168.00	24.10	23.88	749.19
169.00	24.23	23.96	749.19
170.00	24.35	24.04	749.19
171.00	24.49	24.18	749.19
172.00	24.61	24.30	749.19
173.00	24.70	24.41	750.72
174.00	24.78	24.52	747.66
175.00	24.91	24.71	749.19
176.00	25.03	24.88	749.19
177.00	25.13	24.98	749.19
178.00	25.27	25.09	749.19
179.00	25.40	25.22	749.19
180.00	25.46	25.31	749.19
181.00	25.69	25.47	749.19
182.00	25.76	25.52	749.19
183.00	25.92	25.67	749.19
184.00	26.07	25.77	750.72
185.00	26.19	25.88	749.19
186.00	26.32	26.01	749.19
187.00	26.49	26.12	747.66
188.00	26.65	26.29	749.19
189.00	26.82	26.47	749.19
190.00	26.93	26.62	749.19
191.00	27.05	26.76	750.72
192.00	27.19	26.86	749.19
193.00	27.38	27.02	749.19
194.00	27.49	27.14	749.19
195.00	27.67	27.33	749.19
196.00	27.76	27.43	749.19
197.00	27.96	27.57	750.72
198.00	28.12	27.71	749.19
199.00	28.21	27.80	749.19
200.00	28.37	27.95	749.19
201.00	28.54	28.11	747.66
202.00	28.66	28.23	749.19
203.00	28.83	28.44	749.19
204.00	28.93	28.58	749.19
205.00	29.14	28.75	749.19
206.00	29.33	28.88	749.19
207.00	29.44	28.99	749.19
208.00	29.62	29.16	749.19
209.00	29.72	29.27	746.13
210.00	29.85	29.44	749.19
211.00	30.01	29.56	749.19
212.00	30.16	29.69	749.19
213.00	30.30	29.84	749.19
214.00	30.49	30.02	750.72
215.00	30.63	30.18	749.19
216.00	30.78	30.37	747.66
217.00	30.92	30.58	750.72
218.00	31.08	30.75	749.19
219.00	31.22	30.89	749.19
220.00	31.38	31.01	750.72
221.00	31.56	31.20	744.60
222.01	31.67	31.29	749.19
223.00	31.88	31.46	749.19
224.01	31.99	31.57	747.66
225.00	32.16	31.76	738.49
226.00	32.30	31.91	749.19
227.00	32.48	32.09	749.19
228.00	32.59	32.23	749.19
229.00	32.76	32.40	749.19
230.00	32.95	32.57	749.19
231.01	33.06	32.65	749.19
232.00	33.19	32.77	749.19
233.01	33.32	32.91	747.66
234.01	33.49	33.06	750.72
235.00	33.65	33.25	749.19
236.00	33.80	33.33	749.19
237.00	33.96	33.47	750.72
238.01	34.09	33.62	750.72
239.00	34.20	33.76	749.19
240.00	34.33	33.89	749.19
241.00	34.49	34.01	749.19
242.00	34.67	34.18	750.72
243.01	34.84	34.33	749.19
244.00	34.99	34.52	749.19
245.00	35.14	34.69	736.96
246.00	35.26	34.84	749.19
247.01	35.47	35.03	750.72
248.00	35.63	35.17	749.19
249.01	35.75	35.30	749.19
250.00	35.90	35.45	749.19
