Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
30.98	19.87	19.88	3.51
32.01	19.85	19.91	3.51
33.00	19.87	19.92	3.51
33.98	19.87	19.87	3.51
34.97	19.87	19.90	3.51
35.95	19.85	19.90	3.51
36.94	19.91	19.92	3.51
37.92	19.86	19.90	3.51
38.90	19.85	19.91	3.51
39.88	19.85	19.90	3.51
40.87	19.89	19.90	3.51
41.85	19.85	19.92	3.51
42.84	19.84	19.89	3.51
43.83	19.84	19.88	3.51
44.81	19.88	19.94	3.51
45.79	19.85	19.91	3.51
46.77	19.85	19.90	3.51
47.76	19.87	19.90	3.51
48.75	19.87	19.90	3.51
49.73	19.85	19.90	3.51
50.72	19.85	19.87	35.60
51.70	19.86	19.89	92.14
52.68	19.83	19.87	154.78
53.67	19.85	19.89	205.21
54.65	19.86	19.89	275.50
55.65	19.84	19.88	313.70
56.65	19.87	19.90	362.60
57.65	19.84	19.87	417.61
58.65	19.82	19.86	468.03
59.65	19.86	19.90	532.21
60.65	19.85	19.90	590.27
61.65	19.83	19.88	623.89
62.65	19.86	19.93	622.36
63.65	19.84	19.91	685.01
64.65	19.84	19.87	704.88
65.65	19.81	19.86	741.55
66.65	19.82	19.87	756.83
67.65	19.79	19.79	756.83
68.65	19.82	19.84	749.19
69.65	19.81	19.80	749.19
70.65	19.81	19.82	749.19
71.65	19.82	19.81	749.19
72.65	19.82	19.79	749.19
73.65	19.80	19.77	749.19
74.65	19.79	19.78	749.19
75.65	19.80	19.80	749.19
76.65	19.75	19.75	744.60
77.65	19.76	19.75	750.72
78.65	19.80	19.75	750.72
79.65	19.74	19.75	749.19
80.65	19.82	19.78	749.19
81.65	19.76	19.74	749.19
82.65	19.77	19.77	750.72
83.65	19.75	19.73	750.72
84.65	19.75	19.71	749.19
85.65	19.78	19.74	749.19
86.65	19.78	19.74	749.19
87.65	19.78	19.77	749.19
88.65	19.77	19.73	749.19
89.65	19.75	19.74	749.19
90.65	19.76	19.73	749.19
91.65	19.72	19.74	750.72
92.65	19.76	19.73	749.19
93.65	19.76	19.73	750.72
94.65	19.76	19.75	749.19
95.65	19.77	19.76	749.19
96.65	19.76	19.73	749.19
97.65	19.71	19.71	749.19
98.65	19.76	19.73	749.19
99.65	19.74	19.71	752.24
100.65	19.74	19.71	749.19
101.65	19.73	19.71	747.66
102.65	19.76	19.71	749.19
103.65	19.71	19.69	749.19
104.65	19.74	19.71	749.19
105.65	19.73	19.71	749.19
106.65	19.72	19.68	749.19
107.65	19.70	19.70	749.19
108.65	19.73	19.71	753.77
109.65	19.75	19.68	749.19
110.65	19.68	19.67	747.66
111.65	19.72	19.71	749.19
112.65	19.72	19.69	750.72
113.65	19.72	19.68	750.72
114.65	19.75	19.71	750.72
