Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
11.57	20.37	20.25	1.98
12.58	20.36	20.25	3.51
13.57	20.39	20.27	3.51
14.56	20.33	20.22	1.98
15.56	20.31	20.23	3.51
16.56	20.37	20.26	3.51
17.56	20.37	20.26	3.51
18.56	20.34	20.28	3.51
19.56	20.36	20.26	1.98
20.56	20.36	20.27	3.51
21.56	20.34	20.27	3.51
22.55	20.37	20.27	3.51
23.56	20.35	20.24	3.51
24.56	20.35	20.22	1.98
25.56	20.37	20.25	3.51
26.56	20.36	20.23	3.51
27.56	20.38	20.22	3.51
28.55	20.38	20.22	1.98
29.54	20.39	20.22	3.51
30.53	20.37	20.25	3.51
31.53	20.35	20.21	3.51
32.53	20.37	20.23	3.51
33.53	20.39	20.22	3.51
34.53	20.41	20.21	38.65
35.51	20.36	20.18	92.14
36.49	20.39	20.22	133.39
37.48	20.40	20.21	167.01
38.48	20.43	20.22	220.49
39.46	20.42	20.21	286.20
40.45	20.43	20.22	350.37
41.45	20.48	20.24	396.21
42.44	20.49	20.22	423.72
43.44	20.49	20.34	448.17
44.44	20.54	20.55	466.50
45.43	20.58	20.64	490.95
46.43	20.63	20.75	495.54
47.43	20.65	20.85	495.54
48.43	20.64	20.86	495.54
49.43	20.73	20.90	495.54
50.43	20.76	20.93	495.54
51.43	20.83	20.93	497.06
52.41	20.88	20.96	495.54
53.40	21.01	21.02	497.06
54.40	21.04	21.06	498.59
55.40	21.11	21.08	495.54
56.38	21.16	21.10	495.54
57.37	21.19	21.12	497.06
58.36	21.24	21.17	495.54
59.35	21.21	21.15	495.54
60.35	21.27	21.18	495.54
61.34	21.31	21.24	495.54
62.32	21.32	21.31	495.54
63.30	21.35	21.37	495.54
64.29	21.38	21.43	497.06
65.29	21.38	21.44	495.54
66.29	21.43	21.50	495.54
67.28	21.44	21.51	495.54
68.28	21.52	21.59	494.01
69.28	21.58	21.65	495.54
70.28	21.59	21.65	495.54
71.28	21.62	21.68	512.34
72.28	21.68	21.76	494.01
73.28	21.68	21.78	495.54
74.26	21.78	21.85	495.54
75.26	21.82	21.84	495.54
76.26	21.89	21.84	495.54
77.24	22.02	21.89	495.54
78.24	22.04	21.93	495.54
79.25	22.10	22.01	490.95
80.24	22.08	22.04	497.06
81.23	22.15	22.10	495.54
82.21	22.24	22.16	497.06
83.22	22.27	22.19	497.06
84.21	22.31	22.22	495.54
85.21	22.38	22.27	495.54
86.20	22.41	22.34	495.54
87.20	22.47	22.42	495.54
88.20	22.50	22.46	495.54
89.20	22.58	22.52	495.54
90.20	22.60	22.53	495.54
91.20	22.63	22.52	497.06
92.18	22.71	22.58	495.54
93.19	22.76	22.57	494.01
94.18	22.86	22.65	497.06
95.17	22.90	22.68	495.54
96.17	22.95	22.73	494.01
97.17	22.97	22.83	495.54
98.17	23.01	22.88	497.06
99.17	23.07	22.92	495.54
100.16	23.13	22.97	495.54
101.16	23.19	23.02	497.06
102.16	23.22	23.02	497.06
103.15	23.33	23.11	494.01
104.15	23.38	23.17	495.54
105.14	23.45	23.26	495.54
106.13	23.52	23.30	495.54
107.12	23.57	23.37	489.42
108.12	23.66	23.48	495.54
109.10	23.75	23.53	495.54
110.09	23.84	23.59	495.54
111.07	23.88	23.65	495.54
112.06	23.97	23.74	497.06
113.06	24.04	23.80	483.31
114.06	24.10	23.93	495.54
115.04	24.14	23.99	497.06
116.03	24.18	24.07	495.54
117.03	24.30	24.17	495.54
118.03	24.37	24.22	495.54
119.03	24.48	24.28	495.54
120.03	24.55	24.34	495.54
121.03	24.67	24.42	495.54
122.03	24.75	24.53	497.06
123.02	24.86	24.65	495.54
124.03	24.88	24.67	497.06
125.03	24.93	24.74	497.06
126.03	24.95	24.77	495.54
127.01	25.03	24.90	495.54
128.00	25.16	25.01	495.54
129.00	25.24	25.12	497.06
130.00	25.31	25.20	494.01
131.00	25.41	25.29	497.06
132.00	25.53	25.39	497.06
132.98	25.64	25.46	495.54
133.98	25.73	25.50	495.54
134.98	25.87	25.59	495.54
135.98	26.04	25.70	495.54
136.98	26.05	25.75	495.54
137.98	26.17	25.88	497.06
138.98	26.23	25.92	497.06
139.98	26.40	26.06	500.12
140.98	26.54	26.14	495.54
141.98	26.64	26.24	497.06
142.98	26.74	26.30	495.54
143.98	26.82	26.45	495.54
144.98	26.89	26.64	495.54
145.98	27.00	26.73	495.54
146.98	27.06	26.85	495.54
147.97	27.17	26.98	495.54
148.97	27.31	27.07	495.54
149.97	27.42	27.19	495.54
150.96	27.53	27.30	495.54
151.95	27.64	27.35	495.54
152.93	27.75	27.42	494.01
153.93	27.90	27.56	497.06
154.92	28.04	27.67	490.95
155.92	28.10	27.75	495.54
156.90	28.25	27.88	498.59
157.88	28.38	27.99	495.54
158.87	28.53	28.17	495.54
159.87	28.68	28.28	497.06
160.87	28.78	28.40	495.54
161.87	28.90	28.52	495.54
162.87	29.10	28.73	495.54
163.86	29.25	28.81	495.54
164.86	29.35	28.88	497.06
165.86	29.48	28.98	495.54
166.86	29.62	29.07	495.54
167.86	29.77	29.17	495.54
168.86	29.92	29.27	495.54
169.86	30.08	29.41	506.23
170.85	30.19	29.54	495.54
171.85	30.32	29.71	494.01
172.84	30.47	29.87	495.54
173.84	30.56	29.96	495.54
174.82	30.76	30.15	495.54
175.81	30.91	30.35	497.06
176.81	31.06	30.49	495.54
177.80	31.25	30.68	495.54
178.80	31.37	30.81	495.54
179.79	31.55	30.94	495.54
180.78	31.69	31.07	495.54
181.78	31.82	31.25	495.54
182.78	31.93	31.43	497.06
183.78	32.16	31.65	495.54
184.77	32.33	31.81	495.54
185.76	32.50	31.94	495.54
186.76	32.64	32.08	497.06
187.75	32.80	32.19	495.54
188.75	32.92	32.27	497.06
189.75	33.03	32.36	495.54
190.74	33.13	32.51	495.54
191.73	33.23	32.63	495.54
192.72	33.42	32.82	497.06
193.72	33.59	32.95	495.54
194.72	33.70	33.03	495.54
195.72	33.87	33.18	495.54
196.72	33.99	33.34	497.06
197.70	34.11	33.54	495.54
198.70	34.22	33.68	495.54
199.70	34.37	33.82	495.54
200.70	34.54	33.95	497.06
201.70	34.77	34.06	495.54
202.70	34.89	34.20	495.54
203.70	35.02	34.37	495.54
204.70	35.19	34.57	495.54
205.68	35.30	34.72	495.54
206.67	35.48	34.84	495.54
207.66	35.56	34.92	495.54
208.65	35.74	35.05	495.54
209.66	35.83	35.19	495.54
210.66	36.00	35.36	495.54
211.65	36.11	35.54	495.54
212.65	36.22	35.68	495.54
213.65	36.32	35.82	495.54
214.63	36.49	36.04	495.54
215.62	36.62	36.17	497.06
216.62	36.75	36.35	495.54
217.61	36.90	36.48	497.06
218.61	37.04	36.66	495.54
219.59	37.20	36.78	495.54
220.59	37.39	36.91	495.54
221.59	37.51	37.05	495.54
