Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
11.40	16.63	15.39	3.51
12.39	16.51	15.47	3.51
13.37	16.39	15.54	3.51
14.35	16.30	15.55	21.85
15.33	16.15	15.59	1.98
16.33	16.06	15.63	66.16
17.31	15.99	15.63	137.98
18.29	15.89	15.53	199.10
19.27	15.87	15.51	243.41
20.26	15.82	15.47	290.78
21.25	15.82	15.46	332.04
22.24	15.83	15.47	403.85
23.23	15.83	15.46	454.28
24.21	15.85	15.34	492.48
25.20	15.87	15.16	552.07
26.18	15.98	14.91	619.31
27.16	15.99	14.45	669.73
28.15	16.01	13.89	706.40
29.14	15.95	12.75	706.40
30.12	15.81	11.56	723.21
31.11	15.67	10.43	740.02
32.09	15.52	9.41	749.19
33.07	15.36	8.32	749.19
34.05	15.12	7.15	750.72
35.04	14.86	6.94	750.72
36.02	14.51	7.15	749.19
37.01	14.23	7.40	749.19
37.99	13.87	7.55	747.66
38.98	13.55	7.59	747.66
39.96	13.20	7.46	749.19
40.95	12.94	7.42	749.19
41.93	12.63	7.65	749.19
42.91	12.36	7.98	749.19
43.90	12.12	8.14	749.19
44.90	11.88	8.22	749.19
45.88	11.69	8.26	749.19
46.87	11.43	8.38	749.19
47.87	11.29	8.60	749.19
48.85	11.14	8.64	747.66
49.84	10.96	8.55	749.19
50.82	10.84	8.57	750.72
51.81	10.72	8.56	749.19
52.81	10.65	8.49	749.19
53.79	10.51	8.46	749.19
54.77	10.43	8.61	749.19
55.76	10.36	8.87	749.19
56.74	10.30	8.98	749.19
57.73	10.24	9.02	749.19
58.71	10.23	9.12	749.19
59.70	10.12	9.16	749.19
60.68	10.07	9.13	749.19
61.66	10.09	9.26	749.19
62.65	10.03	9.20	749.19
63.64	9.99	9.07	749.19
64.62	10.02	9.10	749.19
65.60	10.01	9.17	749.19
66.59	10.01	9.29	749.19
67.57	10.02	9.43	749.19
68.55	10.01	9.55	747.66
69.54	10.03	9.59	749.19
70.53	10.03	9.61	747.66
71.51	10.06	9.67	749.19
72.49	10.11	9.79	749.19
73.48	10.11	9.84	756.83
74.46	10.11	9.91	749.19
75.45	10.16	9.96	749.19
76.44	10.19	10.03	749.19
77.44	10.23	10.14	749.19
78.44	10.28	10.22	746.13
79.44	10.31	10.30	749.19
80.44	10.38	10.40	749.19
81.44	10.43	10.50	749.19
82.44	10.50	10.56	749.19
83.44	10.53	10.58	749.19
84.44	10.58	10.65	749.19
85.44	10.63	10.73	749.19
86.44	10.72	10.79	749.19
87.44	10.81	10.89	749.19
88.44	10.86	10.91	749.19
89.44	10.95	11.04	747.66
90.44	11.04	11.13	752.24
91.44	11.11	11.18	749.19
92.44	11.13	11.24	749.19
93.44	11.22	11.36	747.66
94.44	11.27	11.45	749.19
95.44	11.36	11.54	749.19
96.44	11.47	11.66	749.19
97.44	11.54	11.67	758.36
98.44	11.65	11.80	749.19
99.44	11.73	11.86	749.19
100.44	11.79	11.95	747.66
101.44	11.87	12.04	749.19
102.44	12.00	12.12	749.19
103.44	12.12	12.21	749.19
104.44	12.17	12.22	749.19
105.44	12.25	12.31	749.19
106.44	12.31	12.38	749.19
107.44	12.46	12.48	749.19
108.44	12.49	12.59	749.19
109.44	12.51	12.65	749.19
110.44	12.66	12.80	749.19
111.44	12.75	12.87	749.19
112.44	12.83	12.95	749.19
113.44	12.93	13.05	743.08
114.44	13.03	13.18	749.19
115.44	13.13	13.30	749.19
116.44	13.24	13.42	749.19
117.44	13.37	13.53	749.19
118.44	13.46	13.64	750.72
119.44	13.56	13.73	749.19
120.44	13.69	13.81	747.66
121.44	13.85	13.99	750.72
122.44	13.94	14.11	749.19
123.44	14.07	14.23	750.72
124.44	14.18	14.31	753.77
125.44	14.31	14.41	749.19
126.44	14.40	14.51	750.72
127.44	14.53	14.62	749.19
128.44	14.67	14.77	749.19
129.44	14.73	14.83	750.72
130.44	14.85	14.90	749.19
131.44	14.99	15.01	750.72
132.44	15.18	15.07	749.19
133.44	15.23	15.15	749.19
134.44	15.38	15.26	749.19
135.44	15.50	15.40	749.19
136.44	15.62	15.53	749.19
137.44	15.80	15.71	750.72
138.44	15.94	15.83	749.19
139.44	16.12	15.98	749.19
140.44	16.26	16.12	749.19
141.44	16.38	16.23	747.66
142.44	16.50	16.44	749.19
143.44	16.64	16.57	749.19
144.44	16.78	16.71	749.19
145.44	16.91	16.86	749.19
146.44	17.06	17.00	749.19
147.44	17.19	17.15	749.19
148.44	17.33	17.23	750.72
149.44	17.46	17.40	749.19
150.44	17.64	17.50	749.19
151.44	17.81	17.64	747.66
152.44	17.99	17.78	749.19
153.44	18.15	17.86	747.66
154.44	18.27	17.97	749.19
155.44	18.42	18.11	749.19
156.44	18.57	18.22	749.19
157.44	18.73	18.37	749.19
158.44	18.93	18.51	746.13
159.44	19.06	18.60	749.19
160.44	19.21	18.75	749.19
161.44	19.39	18.98	750.72
162.44	19.47	19.11	749.19
163.44	19.58	19.25	758.36
164.44	19.75	19.41	749.19
165.44	19.95	19.60	749.19
166.44	20.09	19.72	749.19
167.44	20.24	19.83	749.19
168.44	20.41	20.04	749.19
169.44	20.50	20.16	749.19
170.44	20.65	20.27	749.19
171.44	20.82	20.46	749.19
172.44	20.95	20.63	749.19
173.44	21.14	20.82	750.72
174.44	21.30	21.01	749.19
175.44	21.44	21.14	749.19
176.44	21.58	21.29	749.19
177.44	21.75	21.46	747.66
178.44	21.85	21.60	749.19
179.44	22.02	21.71	749.19
180.44	22.15	21.83	749.19
181.44	22.34	21.95	749.19
182.44	22.46	22.06	749.19
183.44	22.61	22.17	743.08
184.44	22.73	22.31	750.72
185.44	22.89	22.47	749.19
186.44	23.05	22.66	749.19
187.44	23.21	22.81	749.19
188.44	23.35	22.97	749.19
