Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
17.87	22.10	22.01	3.51
18.87	22.13	22.01	3.51
19.86	22.10	21.97	3.51
20.85	22.09	21.97	3.51
21.85	22.09	22.01	3.51
22.85	22.11	22.01	46.29
23.83	22.09	22.00	121.17
24.83	22.10	22.04	218.96
25.81	22.12	22.04	237.30
26.82	22.11	22.06	254.11
27.80	22.08	22.03	254.11
28.80	22.11	22.05	254.11
29.79	22.11	22.05	246.47
30.79	22.10	22.05	246.47
31.79	22.14	22.22	244.94
32.78	22.18	22.44	244.94
33.76	22.20	22.64	246.47
34.75	22.29	22.75	246.47
35.74	22.44	22.89	246.47
36.73	22.55	22.96	246.47
37.72	22.67	23.03	246.47
38.71	22.79	23.12	246.47
39.71	22.88	23.19	246.47
40.71	22.89	23.27	246.47
41.70	22.89	23.25	246.47
42.69	22.93	23.22	246.47
43.67	23.02	23.22	244.94
44.66	23.07	23.18	246.47
45.64	23.07	23.09	246.47
46.63	23.15	23.15	244.94
47.63	23.22	23.16	238.83
48.61	23.34	23.26	247.99
49.60	23.37	23.37	246.47
50.60	23.40	23.45	244.94
51.60	23.37	23.49	246.47
52.60	23.37	23.61	246.47
53.58	23.42	23.77	246.47
54.57	23.45	23.82	246.47
55.57	23.44	23.85	246.47
56.55	23.48	23.93	246.47
57.55	23.52	23.96	246.47
58.54	23.56	23.99	246.47
59.54	23.63	24.02	244.94
60.54	23.68	24.00	246.47
61.53	23.79	24.05	254.11
62.52	23.87	24.08	261.75
63.51	23.94	24.07	238.83
64.51	24.06	24.14	246.47
65.50	24.11	24.19	244.94
66.50	24.13	24.23	246.47
67.49	24.15	24.27	246.47
68.47	24.18	24.31	246.47
69.47	24.23	24.35	237.30
70.45	24.27	24.40	246.47
71.44	24.28	24.40	246.47
72.43	24.33	24.43	246.47
73.42	24.34	24.43	246.47
74.42	24.40	24.47	246.47
75.42	24.41	24.47	246.47
76.41	24.43	24.53	246.47
77.41	24.46	24.62	244.94
78.40	24.55	24.70	246.47
79.39	24.60	24.83	246.47
80.38	24.62	24.88	246.47
81.37	24.72	24.99	244.94
82.36	24.78	25.11	246.47
83.36	24.84	25.24	246.47
84.35	24.92	25.33	246.47
85.35	24.98	25.44	246.47
86.33	25.01	25.49	244.94
87.31	25.04	25.52	247.99
88.30	25.15	25.57	246.47
89.30	25.19	25.60	244.94
90.29	25.27	25.61	246.47
91.28	25.34	25.55	246.47
92.29	25.46	25.61	246.47
93.29	25.54	25.63	246.47
94.27	25.60	25.62	246.47
95.26	25.66	25.66	244.94
96.26	25.75	25.71	246.47
97.26	25.95	25.75	246.47
98.26	26.14	25.84	261.75
99.25	26.23	25.88	244.94
100.23	26.39	25.97	244.94
101.22	26.50	26.15	244.94
102.22	26.62	26.39	246.47
103.22	26.68	26.60	246.47
104.22	26.74	26.77	244.94
105.21	26.79	26.89	246.47
106.19	26.78	26.89	246.47
107.19	26.86	27.02	246.47
108.19	26.96	27.21	247.99
109.18	27.01	27.23	244.94
110.18	27.10	27.22	246.47
111.18	27.14	27.17	246.47
112.17	27.20	27.18	246.47
113.16	27.31	27.29	244.94
114.14	27.37	27.45	246.47
115.13	27.46	27.69	246.47
116.11	27.51	27.87	246.47
117.10	27.58	27.98	244.94
118.10	27.66	27.98	246.47
119.10	27.73	27.99	246.47
120.10	27.76	27.96	244.94
121.10	27.83	28.02	244.94
122.10	27.90	28.23	246.47
123.10	28.00	28.41	246.47
124.10	28.23	28.77	246.47
125.10	28.45	29.06	246.47
126.10	28.70	29.33	246.47
127.10	28.91	29.43	244.94
128.10	29.15	29.43	244.94
129.10	29.39	29.40	246.47
130.10	29.59	29.35	246.47
131.10	29.67	29.29	246.47
132.10	29.77	29.33	244.94
133.10	29.90	29.60	246.47
134.10	29.95	29.80	244.94
135.10	30.04	29.91	246.47
136.10	30.10	30.02	246.47
137.10	30.11	30.14	246.47
138.10	30.21	30.35	246.47
139.10	30.25	30.48	243.41
140.10	30.34	30.56	246.47
141.10	30.47	30.70	244.94
142.10	30.54	30.84	246.47
143.10	30.63	31.07	246.47
144.10	30.69	31.33	244.94
145.10	30.84	31.52	246.47
146.10	31.08	31.65	246.47
147.10	31.35	31.80	246.47
148.10	31.62	31.84	244.94
149.10	31.89	31.77	246.47
150.10	32.13	31.73	246.47
151.10	32.24	31.68	246.47
152.10	32.34	31.69	246.47
153.10	32.39	31.77	246.47
154.10	32.44	31.94	246.47
155.10	32.49	32.24	246.47
156.10	32.65	32.62	246.47
157.10	32.77	32.95	246.47
158.10	32.91	33.26	246.47
