Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
6.88	20.50	20.64	3.51
7.87	20.51	20.64	3.51
8.86	20.47	20.62	3.51
9.84	20.50	20.63	3.51
10.84	20.48	20.60	3.51
11.84	20.51	20.63	3.51
12.84	20.47	20.58	3.51
13.83	20.47	20.61	3.51
14.83	20.48	20.57	1.98
15.82	20.48	20.58	3.51
16.81	20.50	20.60	3.51
17.81	20.49	20.59	3.51
18.81	20.49	20.58	3.51
19.81	20.49	20.58	3.51
20.80	20.48	20.58	3.51
21.79	20.47	20.57	3.51
22.78	20.49	20.61	3.51
23.78	20.50	20.57	3.51
24.78	20.46	20.56	3.51
25.78	20.48	20.56	3.51
26.76	20.47	20.54	3.51
27.75	20.48	20.56	3.51
34.01	20.49	20.55	3.51
35.00	20.48	20.56	3.51
36.00	20.47	20.57	3.51
36.99	20.45	20.54	1.98
37.98	20.49	20.58	3.51
38.98	20.46	20.56	3.51
39.98	20.45	20.56	3.51
40.98	20.45	20.50	3.51
41.98	20.47	20.54	3.51
42.98	20.50	20.58	1.98
43.98	20.48	20.54	3.51
44.97	20.46	20.53	1.98
45.96	20.44	20.51	3.51
46.95	20.45	20.52	3.51
47.95	20.45	20.52	1.98
48.94	20.45	20.51	3.51
49.94	20.44	20.53	1.98
50.94	20.46	20.51	1.98
51.94	20.41	20.48	3.51
52.94	20.46	20.50	3.51
53.94	20.45	20.53	3.51
54.94	20.44	20.49	3.51
55.92	20.45	20.48	3.51
56.91	20.45	20.51	1.98
57.91	20.47	20.53	3.51
58.90	20.44	20.48	3.51
59.89	20.41	20.47	3.51
60.87	20.44	20.49	3.51
61.86	20.43	20.50	3.51
62.86	20.42	20.49	3.51
63.84	20.44	20.49	3.51
64.84	20.44	20.49	3.51
65.84	20.44	20.48	3.51
66.83	20.44	20.49	3.51
67.81	20.45	20.50	3.51
68.81	20.44	20.49	3.51
69.79	20.46	20.50	3.51
70.78	20.43	20.49	3.51
71.78	20.41	20.48	3.51
72.78	20.45	20.49	1.98
73.78	20.42	20.47	3.51
74.78	20.44	20.49	3.51
75.77	20.44	20.48	3.51
76.77	20.43	20.45	3.51
77.77	20.45	20.51	3.51
78.77	20.43	20.45	3.51
79.77	20.44	20.48	3.51
80.76	20.40	20.43	3.51
81.76	20.45	20.48	3.51
82.75	20.46	20.47	3.51
83.75	20.46	20.46	1.98
84.75	20.45	20.49	3.51
85.74	20.46	20.47	3.51
86.74	20.43	20.46	1.98
87.73	20.43	20.44	3.51
88.72	20.43	20.45	3.51
89.70	20.46	20.48	3.51
90.69	20.45	20.46	1.98
91.69	20.49	20.47	3.51
92.69	20.42	20.45	3.51
93.69	20.40	20.45	3.51
94.69	20.42	20.45	3.51
95.69	20.43	20.43	3.51
96.69	20.43	20.45	3.51
97.68	20.46	20.45	3.51
98.67	20.42	20.46	3.51
99.67	20.44	20.44	3.51
100.67	20.44	20.45	3.51
101.66	20.43	20.46	3.51
102.66	20.45	20.45	1.98
103.66	20.44	20.45	1.98
104.66	20.44	20.43	3.51
105.66	20.46	20.44	3.51
106.64	20.45	20.46	3.51
107.62	20.45	20.44	1.98
108.61	20.42	20.43	3.51
109.61	20.44	20.42	3.51
110.61	20.46	20.48	3.51
111.59	20.43	20.45	3.51
112.59	20.43	20.47	3.51
113.59	20.43	20.43	3.51
114.58	20.46	20.43	3.51
115.58	20.51	20.46	3.51
116.58	20.46	20.44	3.51
117.58	20.45	20.43	3.51
118.58	20.46	20.42	3.51
119.58	20.45	20.40	3.51
120.58	20.45	20.40	3.51
121.58	20.47	20.42	3.51
122.57	20.42	20.41	3.51
123.56	20.44	20.39	17.26
124.56	20.47	20.41	58.52
125.54	20.46	20.45	104.36
126.53	20.45	20.41	133.39
127.52	20.43	20.39	157.84
128.51	20.44	20.40	185.35
129.50	20.47	20.43	199.10
130.50	20.42	20.40	206.74
131.50	20.47	20.41	212.85
132.50	20.47	20.43	222.02
133.50	20.46	20.41	222.02
134.50	20.48	20.45	229.66
135.50	20.45	20.41	229.66
136.50	20.48	20.42	229.66
137.50	20.47	20.43	229.66
138.50	20.49	20.46	229.66
139.50	20.47	20.45	229.66
140.50	20.46	20.45	229.66
141.50	20.50	20.46	229.66
142.50	20.51	20.48	229.66
143.50	20.53	20.50	247.99
144.50	20.54	20.50	251.05
145.50	20.53	20.49	249.52
146.50	20.52	20.47	249.52
147.50	20.52	20.49	251.05
148.50	20.54	20.49	249.52
149.50	20.53	20.48	249.52
150.50	20.53	20.46	249.52
151.50	20.52	20.49	251.05
152.50	20.55	20.51	249.52
153.50	20.53	20.48	249.52
154.50	20.52	20.48	251.05
155.50	20.52	20.49	251.05
156.50	20.51	20.49	251.05
157.50	20.53	20.49	251.05
158.50	20.54	20.50	251.05
159.50	20.55	20.52	249.52
160.50	20.53	20.51	249.52
161.50	20.52	20.52	249.52
162.50	20.52	20.53	241.88
163.50	20.50	20.50	249.52
164.50	20.52	20.51	249.52
165.50	20.51	20.50	249.52
166.50	20.52	20.52	251.05
167.50	20.51	20.50	249.52
168.50	20.51	20.52	249.52
169.50	20.54	20.53	249.52
170.50	20.49	20.49	249.52
171.50	20.52	20.52	249.52
172.50	20.53	20.53	249.52
173.50	20.53	20.52	249.52
174.50	20.56	20.57	249.52
175.50	20.49	20.50	249.52
176.50	20.51	20.48	249.52
177.50	20.51	20.51	251.05
178.50	20.53	20.53	251.05
179.50	20.50	20.51	249.52
180.50	20.50	20.52	249.52
181.50	20.54	20.54	251.05
182.50	20.54	20.55	249.52
183.50	20.54	20.54	249.52
184.50	20.51	20.52	249.52
185.50	20.51	20.51	251.05
186.50	20.53	20.54	249.52
187.50	20.53	20.55	247.99
188.50	20.54	20.55	251.05
189.50	20.53	20.54	249.52
190.50	20.56	20.55	251.05
191.50	20.53	20.55	249.52
192.50	20.52	20.53	251.05
193.50	20.51	20.53	251.05
194.50	20.54	20.54	249.52
195.50	20.55	20.57	249.52
196.50	20.53	20.56	249.52
197.50	20.50	20.53	249.52
198.50	20.52	20.53	249.52
199.50	20.55	20.54	251.05
200.50	20.55	20.55	249.52
201.50	20.54	20.55	251.05
202.50	20.53	20.54	249.52
203.50	20.50	20.52	251.05
204.50	20.53	20.55	251.05
205.50	20.54	20.56	249.52
206.50	20.53	20.61	249.52
207.50	20.53	20.62	249.52
208.50	20.54	20.67	251.05
209.50	20.54	20.68	249.52
210.50	20.56	20.70	249.52
211.50	20.56	20.68	249.52
212.50	20.56	20.67	249.52
213.50	20.59	20.70	246.47
214.50	20.58	20.71	251.05
215.50	20.60	20.71	249.52
216.50	20.60	20.72	251.05
217.50	20.68	20.76	249.52
218.50	20.65	20.78	252.58
219.50	20.69	20.81	251.05
220.50	20.71	20.87	249.52
221.50	20.75	20.91	249.52
222.50	20.78	20.92	251.05
223.50	20.84	21.00	251.05
224.50	20.88	21.08	255.63
225.50	20.94	21.17	249.52
226.50	20.94	21.19	249.52
227.50	20.96	21.24	249.52
228.50	20.95	21.20	251.05
229.50	20.98	21.18	251.05
230.50	21.06	21.19	249.52
231.50	21.13	21.18	249.52
232.50	21.18	21.15	249.52
233.50	21.17	21.16	251.05
234.50	21.21	21.16	251.05
235.50	21.28	21.24	251.05
236.50	21.26	21.25	251.05
237.50	21.35	21.29	249.52
238.50	21.38	21.33	251.05
239.50	21.39	21.38	251.05
240.50	21.43	21.41	249.52
241.50	21.49	21.47	251.05
242.50	21.46	21.49	254.11
243.50	21.51	21.62	249.52
244.50	21.52	21.66	249.52
245.50	21.55	21.73	249.52
246.50	21.54	21.79	249.52
247.50	21.59	21.83	251.05
248.50	21.64	21.86	249.52
249.50	21.70	21.89	251.05
250.50	21.74	21.87	249.52
251.50	21.76	21.89	249.52
252.50	21.81	21.89	249.52
253.50	21.88	21.89	251.05
254.50	21.90	21.90	249.52
255.50	21.96	21.96	249.52
256.50	22.01	22.07	249.52
257.50	22.02	22.08	249.52
258.50	22.09	22.21	247.99
259.50	22.12	22.27	251.05
260.50	22.17	22.33	251.05
261.50	22.23	22.42	249.52
262.50	22.31	22.57	249.52
263.50	22.38	22.65	251.05
264.50	22.42	22.72	251.05
265.50	22.45	22.81	249.52
266.50	22.49	22.80	249.52
267.50	22.54	22.84	251.05
268.50	22.55	22.82	249.52
269.50	22.61	22.78	249.52
270.50	22.75	22.81	249.52
271.50	22.82	22.76	249.52
272.50	22.93	22.74	251.05
273.50	23.03	22.78	249.52
274.50	23.10	22.79	255.63
275.50	23.18	22.86	254.11
276.50	23.28	22.99	251.05
277.50	23.31	23.08	249.52
278.50	23.39	23.19	254.11
279.50	23.43	23.30	249.52
280.50	23.48	23.42	249.52
281.50	23.55	23.58	249.52
282.50	23.53	23.66	252.58
283.50	23.58	23.75	249.52
284.50	23.62	23.85	249.52
285.50	23.66	23.94	249.52
286.50	23.78	23.96	249.52
287.50	23.89	24.02	249.52
288.50	23.95	24.01	249.52
289.50	24.02	24.03	249.52
290.50	24.03	24.05	249.52
291.50	24.08	24.08	249.52
292.50	24.12	24.09	249.52
293.50	24.19	24.20	249.52
294.50	24.26	24.29	249.52
295.50	24.42	24.45	249.52
296.50	24.50	24.51	249.52
297.50	24.64	24.62	249.52
298.50	24.79	24.70	249.52
299.50	24.96	24.81	251.05
300.50	25.05	24.85	249.52
301.50	25.14	24.93	251.05
302.50	25.29	25.13	247.99
303.50	25.49	25.20	249.52
304.50	25.67	25.30	249.52
305.50	25.74	25.31	244.94
306.50	25.84	25.38	249.52
307.50	25.87	25.41	249.52
308.50	25.91	25.46	249.52
309.50	25.97	25.56	251.05
310.50	26.01	25.61	249.52
311.50	26.03	25.68	252.58
312.50	26.07	25.79	251.05
313.50	26.09	25.90	249.52
314.50	26.17	26.07	251.05
315.50	26.20	26.20	251.05
316.50	26.27	26.40	251.05
317.50	26.29	26.52	249.52
318.50	26.46	26.80	249.52
319.50	26.77	26.95	249.52
320.50	27.01	27.08	243.41
321.50	27.23	27.24	251.05
322.50	27.45	27.36	249.52
323.50	27.63	27.45	251.05
324.50	27.82	27.50	251.05
325.50	28.01	27.55	251.05
326.50	28.13	27.55	249.52
327.50	28.21	27.59	251.05
328.50	28.34	27.66	249.52
329.50	28.46	27.70	249.52
330.50	28.56	27.72	251.05
331.50	28.65	27.79	249.52
332.50	28.81	27.87	251.05
333.50	28.88	27.98	251.05
334.50	28.96	28.11	251.05
335.50	29.08	28.31	251.05
336.50	29.21	28.52	251.05
337.50	29.23	28.74	251.05
338.50	29.35	28.95	249.52
339.50	29.52	29.26	249.52
340.50	29.59	29.41	251.05
341.50	29.76	29.60	249.52
342.50	29.83	29.71	249.52
343.50	29.96	29.81	251.05
344.50	30.10	29.82	249.52
345.50	30.29	29.84	249.52
346.50	30.40	29.84	249.52
347.50	30.54	29.91	247.99
348.50	30.73	30.04	249.52
349.50	30.82	30.30	249.52
350.50	30.96	30.54	249.52
351.50	31.02	30.75	237.30
352.50	31.06	30.88	249.52
353.50	31.08	31.03	249.52
354.50	31.19	31.16	249.52
355.50	31.38	31.31	249.52
356.50	31.59	31.54	249.52
357.50	31.81	31.76	255.63
358.50	32.02	31.89	249.52
359.50	32.28	31.99	249.52
360.50	32.49	32.12	249.52
361.50	32.61	32.20	249.52
362.50	32.68	32.25	251.05
363.50	32.73	32.28	249.52
364.50	32.74	32.27	251.05
365.50	32.74	32.40	251.05
366.50	32.76	32.64	249.52
367.50	32.72	32.87	251.05
368.50	32.73	33.01	249.52
369.50	32.84	33.17	251.05
370.50	32.94	33.23	249.52
371.50	33.07	33.29	251.05
372.50	33.16	33.32	249.52
373.50	33.26	33.39	249.52
374.50	33.24	33.43	247.99
375.50	33.32	33.60	249.52
376.50	33.40	33.77	251.05
377.50	33.49	33.91	249.52
378.50	33.61	34.02	251.05
379.50	33.75	34.17	249.52
380.50	33.96	34.23	251.05
381.50	34.15	34.30	251.05
382.50	34.32	34.33	251.05
383.50	34.41	34.36	249.52
384.50	34.50	34.41	249.52
385.50	34.54	34.42	249.52
386.50	34.64	34.50	249.52
387.50	34.67	34.57	247.99
388.50	34.88	34.77	249.52
