Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
8.77	21.59	21.44	3.51
9.77	21.61	21.42	3.51
10.77	21.60	21.43	3.51
11.77	21.60	21.41	3.51
12.76	21.60	21.46	90.61
13.75	21.60	21.43	237.30
14.74	21.57	21.41	298.42
15.74	21.60	21.43	280.08
16.72	21.61	21.45	272.44
17.71	21.61	21.41	261.75
18.71	21.64	21.44	254.11
19.71	21.66	21.47	252.58
20.71	21.65	21.54	254.11
21.71	21.70	21.68	244.94
22.69	21.69	21.80	255.63
23.68	21.70	21.85	254.11
24.68	21.73	21.93	260.22
25.66	21.77	21.96	254.11
26.67	21.80	22.01	252.58
27.67	21.83	22.03	254.11
28.66	21.85	22.06	254.11
29.66	21.91	22.08	252.58
30.64	22.01	22.08	254.11
31.63	22.12	22.10	252.58
32.63	22.19	22.07	254.11
33.63	22.21	22.13	254.11
34.62	22.23	22.17	254.11
35.62	22.28	22.26	252.58
36.61	22.28	22.27	254.11
37.61	22.32	22.34	254.11
38.60	22.33	22.36	252.58
39.60	22.36	22.36	254.11
40.58	22.39	22.39	252.58
41.57	22.38	22.43	252.58
42.57	22.46	22.48	254.11
43.57	22.53	22.52	254.11
44.57	22.60	22.57	254.11
45.56	22.64	22.63	252.58
46.55	22.68	22.65	252.58
47.54	22.69	22.69	252.58
48.54	22.74	22.76	254.11
49.52	22.77	22.82	254.11
50.51	22.79	22.87	255.63
51.51	22.79	22.88	252.58
52.51	22.82	22.98	252.58
53.51	22.84	23.04	252.58
54.49	22.86	23.05	254.11
55.48	22.90	23.09	254.11
56.48	22.90	23.09	254.11
57.48	22.97	23.15	254.11
58.47	23.01	23.22	252.58
59.46	23.07	23.25	254.11
60.46	23.14	23.28	254.11
61.46	23.21	23.28	254.11
62.45	23.28	23.31	254.11
63.44	23.30	23.29	254.11
64.43	23.32	23.27	254.11
65.43	23.37	23.32	254.11
66.42	23.35	23.36	254.11
67.41	23.41	23.46	252.58
68.41	23.46	23.52	252.58
69.41	23.49	23.56	252.58
70.39	23.62	23.68	254.11
71.38	23.72	23.77	255.63
72.38	23.79	23.83	254.11
73.38	23.85	23.91	252.58
74.37	23.94	23.99	254.11
75.37	23.98	24.01	252.58
76.37	24.06	24.06	252.58
